ID	ID_nohemi	hemi	name	name_full	level 0 / Lobe	level 1 / ROI	level 1 / ROI (abbr)	Modified Cytoarchitectonic
222	70	rh	STSU.rEx	superior temporal gyrus, superior temporal sulcus upper bank, rostroexternal part	Temporal Lobe	Superior Temporal Gyrus	STG	TAa, rostral part
223	71	rh	STSU.cEx	superior temporal gyrus, superior temporal sulcus upper bank, caudoexternal part	Temporal Lobe	Superior Temporal Gyrus	STG	TAa, caudal part
224	72	rh	STSU.r	superior temporal gyrus, superior temporal sulcus upper bank, rostral part	Temporal Lobe	Superior Temporal Gyrus	STG	TPO, rostral part
225	73	rh	STSU.ri	superior temporal gyrus, superior temporal sulcus upper bank, rostrointermediate part	Temporal Lobe	Superior Temporal Gyrus	STG	TPO, caudal part
226	74	rh	STSU.ci	superior temporal gyrus, superior temporal sulcus upper bank, caudointermediate part 	Temporal Lobe	Superior Temporal Gyrus	STG	MT
227	75	rh	STSU.c	superior temporal gyrus, superior temporal sulcus upper bank, caudal part 	Temporal Lobe	Superior Temporal Gyrus	STG	MST
228	76	rh	STSL.r	inferior temporal gyrus, superior temporal sulcus lower bank, rostral  part 	Temporal Lobe	Inferior Temporal Gyrus	ITG	TEa
229	77	rh	STSL.cIn	inferior temporal gyrus, superior temporal sulcus lower bank, caudointernal part	Temporal Lobe	Inferior Temporal Gyrus	ITG	FST
230	78	rh	STSL.cEx	inferior temporal gyrus, superior temporal sulcus lower bank, caudoexternal part	Temporal Lobe	Inferior Temporal Gyrus	ITG	TEOm
231	79	rh	ITG.gr	inferior temporal gyrus,  gyral rostral part 	Temporal Lobe	Inferior Temporal Gyrus	ITG	TE1/TE2
232	80	rh	ITG.gdc	inferior temporal gyrus,  gyral dorsocaudal part 	Temporal Lobe	Inferior Temporal Gyrus	ITG	TEO/TE3
233	81	rh	ITG.gvc	inferior temporal gyrus, gyral ventrocaudal part	Temporal Lobe	Inferior Temporal Gyrus	ITG	TEO/TF
234	82	rh	PHG.r	parahippocampal gyrus, rostral part	Temporal Lobe	Parahippocampal Gyrus	PHG	36R
235	83	rh	PHG.mi	parahippocampal gyrus, mediointermediate part	Temporal Lobe	Parahippocampal Gyrus	PHG	EC
236	84	rh	PHG.li	parahippocampal gyrus, laterointermediate part	Temporal Lobe	Parahippocampal Gyrus	PHG	TF
237	85	rh	PHG.cm	parahippocampal gyrus, caudomedial part	Temporal Lobe	Parahippocampal Gyrus	PHG	TH
238	86	rh	PHG.cl	parahippocampal gyrus, caudolateral part	Temporal Lobe	Parahippocampal Gyrus	PHG	36O
239	87	rh	TP.vr	temporal pole, ventrorostral part	Temporal Lobe	Temporal Pole	TP	TP
240	88	rh	TP.mr	temporal pole, mediorostral part	Temporal Lobe	Temporal Pole	TP	TP
241	89	rh	TP.lr	temporal pole, laterorostral part	Temporal Lobe	Temporal Pole	TP	TP
242	90	rh	TP.dr	temporal pole, dorsorostral part 	Temporal Lobe	Temporal Pole	TP	TP
243	91	rh	TP.cEx	temporal pole, caudoexternal  part	Temporal Lobe	Temporal Pole	TP	TP
244	92	rh	TP.cIn	temporal pole, caudointernal  part	Temporal Lobe	Temporal Pole	TP	TP
245	93	rh	V1.cm	V1, caudomedial part	Occipital Lobe	V1	V1	V1
246	94	rh	V1.dl	V1, dorsolateral part	Occipital Lobe	V1	V1	V1
247	95	rh	V1.vl	V1,  ventrolateral part	Occipital Lobe	V1	V1	V1
248	96	rh	V1.mvi	V1, medial ventrointermediate part	Occipital Lobe	V1	V1	V1
249	97	rh	V1.mdi	V1, medial dorsointermediate part	Occipital Lobe	V1	V1	V1
250	98	rh	V1.rm	V1, rostromedial part	Occipital Lobe	V1	V1	V1
251	99	rh	V2.l	V2, lateral part	Occipital Lobe	V2	V2	V2
252	100	rh	V2.d	V2, dorsal part	Occipital Lobe	V2	V2	V2
253	101	rh	V2.v	V2, ventral part	Occipital Lobe	V2	V2	V2
254	102	rh	V2.dm	V2, dorsomedial part	Occipital Lobe	V2	V2	V2
255	103	rh	V2.vm	V2, ventromedial part	Occipital Lobe	V2	V2	V2
256	104	rh	VMO.l	ventromedial occipital cortex, lateral part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  dorsal part
257	105	rh	VMO.i	ventromedial occipital cortex, intermediate part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  ventral part
258	106	rh	VMO.m	ventromedial occipital cortex, medial part	Occipital Lobe	Ventromedial Occipital Cortex	VMO	V3V/V4V,  medial part
259	107	rh	INS.vr	insula cortex, ventrorostral part	Insula Cortex	Insula Cortex	INS	Ipa
260	108	rh	INS.dr	insula cortex, dorsorostral part	Insula Cortex	Insula Cortex	INS	Ia
261	109	rh	INS.ri	insula cortex, rostrointermediate part	Insula Cortex	Insula Cortex	INS	Id
262	110	rh	INS.v	insula cortex, ventral part	Insula Cortex	Insula Cortex	INS	Ip/Id
263	111	rh	INS.ci	insula cortex, caudointermediate  part	Insula Cortex	Insula Cortex	INS	Ig, rostral part
264	112	rh	INS.c	insula cortex, caudal part	Insula Cortex	Insula Cortex	INS	Ig, caudal part
265	113	rh	CG.vr	cingulate cortex, ventrorostral  part	Limbic Lobe	Cingulate Cortex	CG	25
266	114	rh	CG.ir	cingulate cortex,  intermediorostral part	Limbic Lobe	Cingulate Cortex	CG	32
267	115	rh	CG.dr	cingulate cortex, dorsorostral part	Limbic Lobe	Cingulate Cortex	CG	24c, rostral part
268	116	rh	CG.idr	cingulate cortex, intermediate dorsorostral part	Limbic Lobe	Cingulate Cortex	CG	24c
269	117	rh	CG.idc	cingulate cortex, intermediate dorsocaudal part	Limbic Lobe	Cingulate Cortex	CG	23c/24d
270	118	rh	CG.ivr	cingulate cortex, intermediate ventrorostral part	Limbic Lobe	Cingulate Cortex	CG	24a/24b
271	119	rh	CG.ivc	cingulate cortex, intermediate ventrocaudal part	Limbic Lobe	Cingulate Cortex	CG	23a/23b, rostral part
